attribute,id,parent,notation,label,definition
Abundance of particles in the sand and coarse silt fraction that consist of volcanic glasses,C,,C,Common,
Abundance of particles in the sand and coarse silt fraction that consist of volcanic glasses,F,,F,Few,
Abundance of particles in the sand and coarse silt fraction that consist of volcanic glasses,M,,M,Many,
Abundance of particles in the sand and coarse silt fraction that consist of volcanic glasses,N,,N,None,
Abundance of pores,C,,C,Common,
Abundance of pores,F,,F,Few,
Abundance of pores,M,,M,Many,
Abundance of pores,V,,V,Very Few,
Abundance of roots > 2 mm,A,,A,Abundant,> 20
Abundance of roots > 2 mm,C,,C,Common,6 – 10
Abundance of roots > 2 mm,F,,F,Few,3 – 5
Abundance of roots > 2 mm,M,,M,Many,11 – 20
Abundance of roots > 2 mm,N,,N,None,0
Abundance of roots > 2 mm,V,,V,Very few,1 – 2
Abundance of roots ≤ 2 mm,A,,A,Abundant,> 50
Abundance of roots ≤ 2 mm,C,,C,Common,11 – 20
Abundance of roots ≤ 2 mm,F,,F,Few,6 – 10
Abundance of roots ≤ 2 mm,M,,M,Many,21 – 50
Abundance of roots ≤ 2 mm,N,,N,None,0
Abundance of roots ≤ 2 mm,V,,V,Very few,1 – 5
Activity of erosion,HI,,HI,Active in historical times,
Activity of erosion,NK,,NK,Period of activity not known,
Activity of erosion,PR,,PR,Active at present,
Activity of erosion,RE,,RE,Active in recent past,
Aggregate formation after addditions or after in-situ alterations,N,,N,No new granular structure present,
Aggregate formation after addditions or after in-situ alterations,P,,P,"New granular structure present in places, but in other places the added or mixed materials and the previously present materials lie isolated from each other",
Aggregate formation after addditions or after in-situ alterations,T,,T,New granular structure present throughout the layer,
Aggregate penetrability for root,N,,N,No aggregate with dense outer rim,
Aggregate penetrability for root,P,,P,All aggregates with dense outer rim,
Aggregate penetrability for root,S,,S,Some aggregates with dense outer rim,
Aggregate size,CO,,CO,Coarse,
Aggregate size,EC,,EC,Extremely coarse,
Aggregate size,FI,,FI,Fine,
Aggregate size,ME,,ME,Medium,
Aggregate size,VC,,VC,Very coarse,
Aggregate size,VF,,VF,Very fine,
Artefacts,BA,,BA,Bottom ash,
Artefacts,BC,,BC,"Black carbon (e.g. charcoal, partly charred particles, soot)",
Artefacts,BF,,BF,"Bitumen (asphalt), fragments",
Artefacts,BR,,BR,"Bricks, adobes",
Artefacts,BS,,BS,Boiler slag,
Artefacts,BT,,BT,"Bitumen (asphalt), continuous",
Artefacts,CE,,CE,Ceramics,
Artefacts,CF,,CF,"Concrete, fragments",
Artefacts,CL,,CL,"Cloth, carpet",
Artefacts,CO,,CO,Crude oil,
Artefacts,CR,,CR,"Concrete, continuous",
Artefacts,CU,,CU,Coal combustion byproducts,
Artefacts,DE,,DE,Debitage (stone tool flakes),
Artefacts,DS,,DS,Dressed or crushed stones,
Artefacts,FA,,FA,Fly ash,
Artefacts,GC,,GC,Gold coins,
Artefacts,GF,,GF,"Geomembrane, fragments",
Artefacts,GL,,GL,Glass,
Artefacts,GM,,GM,"Geomembrane, continuous",
Artefacts,HW,,HW,Household waste (undifferentiated),
Artefacts,IW,,IW,Industrial waste,
Artefacts,LL,,LL,Lumps of applied lime,
Artefacts,ME,,ME,Metal,
Artefacts,MS,,MS,Mine spoil,
Artefacts,NO,,NO,None,
Artefacts,OT,,OT,Other,
Artefacts,OW,,OW,Organic waste,
Artefacts,PA,,PA,"Paper, cardboard",
Artefacts,PB,,PB,Plasterboard,
Artefacts,PO,,PO,Processed oil products,
Artefacts,PT,,PT,Plastic,
Artefacts,RU,,RU,Rubber (tires etc.),
Artefacts,TW,,TW,Treated wood,
Artificial additions of natural material,ML,,ML,"Mineral, >2 mm",
Artificial additions of natural material,MS,,MS,"Mineral, ≤2 mm",
Artificial additions of natural material,NO,,NO,No additions,
Artificial additions of natural material,OR,,OR,Organic,
Carbonate contents,EX,,EX,Extremely calcareous,> 25 % (by mass)
Carbonate contents,MO,,MO,Moderately calcareous,> 2 - 10 % (by mass)
Carbonate contents,NC,,NC,Non-calcareous,0 % (by mass)
Carbonate contents,SL,,SL,Slightly calcareous,> 0 - 2 % (by mass)
Carbonate contents,ST,,ST,Strongly calcareous,> 10 - 25 % (by mass)
Cementation class of oximorphic features,EWC,,EWC,Extremely weakly cemented,
Cementation class of oximorphic features,MOC,,MOC,Moderately or more cemented,
Cementation class of oximorphic features,NC,,NC,Not cemented,
Cementation class of oximorphic features,VWC,,VWC,Very weakly cemented,
Cementation class of oximorphic features,WEC,,WEC,Weakly cemented,
Cementing agents,AL,,AL,Al,
Cementing agents,CA,,CA,Carbonates,
Cementing agents,FE,,FE,Fe oxides,
Cementing agents,GY,,GY,Gypsum,
Cementing agents,IA,,IA,"Ice, < 75% (by volume)",
Cementing agents,IM,,IM,"Ice, ≥ 75% (by volume)",
Cementing agents,MN,,MN,Mn oxides,
Cementing agents,OM,,OM,Organic matter,
Cementing agents,RS,,RS,Readily soluble salts,
Cementing agents,SI,,SI,Silica,
Cementing class,EWC,,EWC,Extremely weakly cemented,
Cementing class,EXC,,EXC,Extremely strongly cemented,
Cementing class,MOC,,MOC,Moderately cemented,
Cementing class,NOC,,NOC,Not cemented,
Cementing class,STC,,STC,Strongly cemented,
Cementing class,VSC,,VSC,Very strongly cemented,
Cementing class,VWC,,VWC,Very weakly cemented,
Cementing class,WEC,,WEC,Weakly cemented,
Climate according to Köppen (1936),A,,A,Tropical climates,
Climate according to Köppen (1936),Af,A,Af,Tropical rainforest climate,
Climate according to Köppen (1936),Am,A,Am,Tropical monsoon climate,
Climate according to Köppen (1936),As,A,As,Tropical savanna climate with dry-summer characteristics,
Climate according to Köppen (1936),Aw,A,Aw,Tropical savanna climate with dry-winter characteristics,
Climate according to Köppen (1936),B,,B,Dry climates,
Climate according to Köppen (1936),BSc,B,BSc,Cold semi-arid climate,
Climate according to Köppen (1936),BSh,B,BSh,Hot semi-arid climate,
Climate according to Köppen (1936),BWc,B,BWc,Cold arid climate,
Climate according to Köppen (1936),BWh,B,BWh,Hot arid climate,
Climate according to Köppen (1936),C,,C,Temperate climates,
Climate according to Köppen (1936),Cfa,C,Cfa,Humid subtropical climate,
Climate according to Köppen (1936),Cfb,C,Cfb,Oceanic climate,
Climate according to Köppen (1936),Cfc,C,Cfc,Subpolar oceanic climate,
Climate according to Köppen (1936),Csa,C,Csa,Mediterranean hot summer climate,
Climate according to Köppen (1936),Csb,C,Csb,Mediterranean warm/cool summer climate,
Climate according to Köppen (1936),Csc,C,Csc,Mediterranean cold summer climate,
Climate according to Köppen (1936),Cwa,C,Cwa,Dry-winter humid subtropical climate,
Climate according to Köppen (1936),Cwb,C,Cwb,Dry-winter subtropical highland climate,
Climate according to Köppen (1936),Cwc,C,Cwc,Dry-winter subpolar oceanic climate,
Climate according to Köppen (1936),D,,D,Continental climates,
Climate according to Köppen (1936),Dfa,D,Dfa,Hot-summer humid continental climate,
Climate according to Köppen (1936),Dfb,D,Dfb,Warm-summer humid continental climate,
Climate according to Köppen (1936),Dfc,D,Dfc,Subarctic climate,
Climate according to Köppen (1936),Dfd,D,Dfd,Extremely cold subarctic climate,
Climate according to Köppen (1936),Dsa,D,Dsa,Mediterranean-influenced hot-summer humid continental climate,
Climate according to Köppen (1936),Dsb,D,Dsb,Mediterranean-influenced warm-summer humid continental climate,
Climate according to Köppen (1936),Dsc,D,Dsc,Mediterranean-influenced subarctic climate,
Climate according to Köppen (1936),Dsd,D,Dsd,Mediterranean-influenced extremely cold subarctic climate,
Climate according to Köppen (1936),Dwa,D,Dwa,Monsoon-influenced hot-summer humid continental climate,
Climate according to Köppen (1936),Dwb,D,Dwb,Monsoon-influenced warm-summer humid continental climate,
Climate according to Köppen (1936),Dwc,D,Dwc,Monsoon-influenced subarctic climate,
Climate according to Köppen (1936),Dwd,D,Dwd,Monsoon-influenced extremely cold subarctic climate,
Climate according to Köppen (1936),E,,E,Polar and alpine climates,
Climate according to Köppen (1936),EF,E,EF,Ice cap climate,
Climate according to Köppen (1936),ET,E,ET,Tundra climate,
Coarse surface fragments,B,,B,Boulders,> 20 - 60
Coarse surface fragments,C,,C,Coarse gravel,> 2 - 6
Coarse surface fragments,F,,F,Fine gravel,> 0.2 - 0.6
Coarse surface fragments,L,,L,Large boulders,> 60
Coarse surface fragments,M,,M,Medium gravel,> 0.6 - 2
Coarse surface fragments,N,,N,No coarse surface fragments,
Coarse surface fragments,S,,S,Stones,> 6 - 20
Continuity,AC,,AC,All cracks continue into the underlying layer,
Continuity,HC,,HC,"At least half, but not all of the cracks continue into the underlying layer",
Continuity,NC,,NC,Cracks do not continue into the underlying layer,
Continuity,SC,,SC,"At least one, but less than half of the cracks continue into the underlying layer",
Cracks persistence,IT,,IT,Irreversible (persist year-round),
Cracks persistence,NO,,NO,No cracks,
Cracks persistence,RT,,RT,Reversible (open and close with changing soil moisture),
Cryogenic alteration feature,CF,,CF,Separation of coarse material and fine material,
Cryogenic alteration feature,DB,,DB,Disrupted lower layer boundary,
Cryogenic alteration feature,IL,,IL,Ice lens,
Cryogenic alteration feature,IW,,IW,Ice wedge,
Cryogenic alteration feature,MI,,MI,Mineral involutions in an organic layer,
Cryogenic alteration feature,NO,,NO,None,
Cryogenic alteration feature,OI,,OI,Organic involutions in a mineral layer,
Cryogenic alteration feature,OT,,OT,Other,
Cultivation type,ACA,,ACA,Simultaneous agroforestry system with trees and annual crops,
Cultivation type,ACB,,ACB,"Simultaneous agroforestry system with trees, perennial and annual crops",
Cultivation type,ACG,,ACG,"Simultaneous agroforestry system with trees, crops and grassland",
Cultivation type,ACP,,ACP,Simultaneous agroforestry system with trees and perennial crops,
Cultivation type,AGG,,AGG,Simultaneous agroforestry system with trees and grassland,
Cultivation type,CPA,,CPA,"Annual crop production (e.g. food, fodder, fuel, fiber, ornamental plants)",
Cultivation type,CPP,,CPP,"Perennial crop production (e.g. food, fodder, fuel, fiber, ornamental plants)",
Cultivation type,FDF,,FDF,"Fallow, all plants constantly removed (dry farming)",
Cultivation type,FOL,,FOL,"Fallow, at least 12 months, with spontaneous vegetation",
Cultivation type,FYO,,FYO,"Fallow, less than 12 months, with spontaneous vegetation",
Cultivation type,GIN,,GIN,"Intensively-managed grassland, not pastured",
Cultivation type,GIP,,GIP,"Intensively-managed grassland, pastured",
Cultivation type,GNP,,GNP,Pasture on (semi-)natural vegetation,
Current weather conditions,OV,,OV,Overcast,
Current weather conditions,PC,,PC,Partly cloudy,
Current weather conditions,RA,,RA,Rain,
Current weather conditions,SL,,SL,Sleet,
Current weather conditions,SN,,SN,Snow,
Current weather conditions,SU,,SU,Sunny/clear,
Dead residues of specific plants,N,,N,No dead plant residues,
Dead residues of specific plants,O,,O,Other plants,
Dead residues of specific plants,S,,S,Moss fibres,
Dead residues of specific plants,W,,W,Wood,
Degree of erosion,E,,E,Extreme,"Substantial removal of deeper subsurface layers, original ecological functions fully destroyed (badlands)"
Degree of erosion,M,,M,Moderate,"Clear evidence of removal of surface layers, original ecological functions partly destroyed"
Degree of erosion,S,,S,Slight,"Some evidence of damage to surface layers, original ecological functions largely intact"
Degree of erosion,V,,V,Severe,"Surface layers completely removed and subsurface layers exposed, original ecological functions largely destroyed"
Distance between surface cracks,HU,,HU,Huge,> 200 - 500
Distance between surface cracks,LA,,LA,Large,> 20 - 50
Distance between surface cracks,ME,,ME,Medium,> 5 - 20
Distance between surface cracks,SM,,SM,Small,> 2 - 5
Distance between surface cracks,TI,,TI,Tiny,≤ 0.5
Distance between surface cracks,VH,,VH,Very huge,> 500
Distance between surface cracks,VL,,VL,Very large,> 50 -200
Distance between surface cracks,VS,,VS,Very small,> 0.5 - 2
Distinctness of the layer’s lower boundary,A,,A,Abrupt,
Distinctness of the layer’s lower boundary,C,,C,Clear,
Distinctness of the layer’s lower boundary,D,,D,Diffuse,
Distinctness of the layer’s lower boundary,G,,G,Gradual,
Distinctness of the layer’s lower boundary,V,,V,Very Abrupt,
Ecozones according to Schultz,BOR,,BOR,Boreal zone,
Ecozones according to Schultz,MDR,,MDR,Dry mid-latitudes,
Ecozones according to Schultz,MHU,,MHU,Humid mid-latitudes,
Ecozones according to Schultz,POS,,POS,Polar-subpolar zone,
Ecozones according to Schultz,SWR,,SWR,Subtropics with winter rain (Mediterranean climate),
Ecozones according to Schultz,SYR,,SYR,Subtropics with year-round rain,
Ecozones according to Schultz,TSD,,TSD,Dry tropics and subtropics,
Ecozones according to Schultz,TSR,,TSR,Tropics with summer rain,
Ecozones according to Schultz,TYR,,TYR,Tropics with year-round rain,
Grade of structural units,M,,M,Moderate,
Grade of structural units,S,,S,Strong,
Grade of structural units,W,,W,Weak,
Gypsum contents,EX,,EX,Extremely gypsiferous,
Gypsum contents,MO,,MO,Moderately gypsiferous,
Gypsum contents,NG,,NG,Non-gypsiferous,
Gypsum contents,SL,,SL,Slightly gypsiferous,
Gypsum contents,ST,,ST,Strongly gypsiferous,
Human-made surface unevenness,CD,,CD,Drainage canals,
Human-made surface unevenness,CI,,CI,Irrigation canals,
Human-made surface unevenness,CO,,CO,Other canals,
Human-made surface unevenness,EL,,EL,Other longitudinal elevations,
Human-made surface unevenness,EP,,EP,Polygonal elevations,
Human-made surface unevenness,ER,,ER,Rounded elevations,
Human-made surface unevenness,HP,,HP,Polygonal holes,
Human-made surface unevenness,HR,,HR,Rounded holes,
Human-made surface unevenness,HT,,HT,Human-made terraces,
Human-made surface unevenness,NO,,NO,None,
Human-made surface unevenness,OT,,OT,Other,
Human-made surface unevenness,RB,,RB,Raised beds,
In-situ alterations,CP,,CP,"Compaction, other than a plough pan",
In-situ alterations,LO,,LO,Loosening,
In-situ alterations,NO,,NO,No in-situ alteration,
In-situ alterations,OT,,OT,Other,
In-situ alterations,PA,,PA,"Ploughing, annually",
In-situ alterations,PO,,PO,"Ploughing, at least once every 5 years",
In-situ alterations,PP,,PP,"Ploughing in the past, not ploughed since > 5 years",
In-situ alterations,PU,,PU,"Ploughing, unspecified",
In-situ alterations,RM,,RM,Remodelled (e.g. single ploughing),
In-situ alterations,SD,,SD,"Structure deterioration, other than by ploughing or remodelling",
Layers with permafrost,I,,I,"Massive ice, cementation by ice or readily visible ice crystals",
Layers with permafrost,N,,N,No permafrost,
Layers with permafrost,T,,T,Soil temperature of < 0 °C and insufficient water to form readily visible ice crystals,
Location of oximorphic and reductimorphic features,OIB,,OIB,Inside soil aggregates: both concretions and/or nodules (not possible to distinguish),
Location of oximorphic and reductimorphic features,OIC,,OIC,Inside soil aggregates: concretions,
Location of oximorphic and reductimorphic features,OIM,,OIM,Inside soil aggregates: masses,
Location of oximorphic and reductimorphic features,OIN,,OIN,Inside soil aggregates: nodules,
Location of oximorphic and reductimorphic features,OOA,,OOA,On surfaces of soil aggregates,
Location of oximorphic and reductimorphic features,OOE,,OOE,"On biopore walls, lining the entire wall surface",
Location of oximorphic and reductimorphic features,OOH,,OOH,"Adjacent to surfaces of soil aggregates, infused into the matrix (hypocoats)",
Location of oximorphic and reductimorphic features,OOI,,OOI,"Adjacent to biopores, infused into the matrix (hypocoats)",
Location of oximorphic and reductimorphic features,OON,,OON,"On biopore walls, not lining the entire wall surface",
Location of oximorphic and reductimorphic features,ORN,,ORN,"Distributed over the layer, no order visible",
Location of oximorphic and reductimorphic features,ORS,,ORS,"Distributed over the layer, surrounding areas with reductimorphic features",
Location of oximorphic and reductimorphic features,ORT,,ORT,Throughout,
Location of oximorphic and reductimorphic features,RIA,,RIA,Inside soil aggregates,
Location of oximorphic and reductimorphic features,ROA,,ROA,Outer parts of soil aggregates,
Location of oximorphic and reductimorphic features,ROE,,ROE,"Around biopores, surrounding the entire pores",
Location of oximorphic and reductimorphic features,RON,,RON,"Around biopores, not surrounding the entire pores",
Location of oximorphic and reductimorphic features,RRN,,RRN,"Distributed over the layer, no order visible",
Location of oximorphic and reductimorphic features,RRS,,RRS,"Distributed over the layer, surrounding areas with oximorphic features",
Location of oximorphic and reductimorphic features,RRT,,RRT,Throughout,
Moisture class,DR,,DR,Dry,
Moisture class,MO,,MO,Moist,
Moisture class,SM,,SM,Slightly moist,
Moisture class,VD,,VD,Very dry,
Moisture class,WE,,WE,Wet,
Natural surface unevenness,G,,G,Unevenness caused by shrink-swell clays (gilgai relief),
Natural surface unevenness,N,,N,None,
Natural surface unevenness,O,,O,Other,
Natural surface unevenness,P,,P,"Unevenness caused by permafrost (palsa, pingo, mud boils, thufurs etc.)",
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",M,,M,Mineral,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",OH,,OH,Organic hydromorphic,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",OT,,OT,Organic terrestrial,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",TH,,TH,Organotechnic hydromorphic,
"Organic (hydromorphic and terrestrial), organotechnic and mineral layers",TT,,TT,Organotechnic terrestrial,
Organic matter coatings and oxide coatings on sand and/or coarse silt grains,A,,A,All sand and coarse silt grains coated without cracks,
Organic matter coatings and oxide coatings on sand and/or coarse silt grains,C,,C,Cracked coatings on sand grains,
Organic matter coatings and oxide coatings on sand and/or coarse silt grains,U,,U,Uncoated sand and/or coarse silt grains,
Packing density,FR,,FR,Firm,Only the knifepoint penetrates when forces are applied
Packing density,IN,,IN,Intermediate,Knife penetrates half when forces are applied
Packing density,LO,,LO,Loose,Knife penetrates completely when forces are applied
Packing density,VL,,VL,Very loose,Knife penetrates completely even when applying low forces
Packing density,VR,,VR,Very firm,Knife does not (or only a little bit) penetrate when forces are applied
Past weather conditions,ND,,ND,No rain in the last 24 hours,
Past weather conditions,NM,,NM,No rain in the last month,
Past weather conditions,NW,,NW,No rain in the last week,
Past weather conditions,RD,,RD,Rain but no heavy rain in the last 24 hours,
Past weather conditions,RE,,RE,Extremely rainy or snow melting,
Past weather conditions,RH,,RH,Heavy rain for some days or excessive rain in the last 24 hours,
Patterned ground,N,,N,None,
Patterned ground,P,,P,Polygons,
Patterned ground,R,,R,Rings,
Patterned ground,S,,S,Stripes,
Persistance of surface cracks,I,,I,"Irreversible (persist year-round, e.g., drained polder cracks, cracks in cemented layers)",
Persistance of surface cracks,R,,R,"Reversible (open and close with changing moisture, e.g., in Vertisols and in soils with the Vertic or the Protovertic qualifier)",
Pore size,CO,,CO,Coarse,
Pore size,FI,,FI,Fine,
Pore size,ME,,ME,Medium,
Pore size,VC,,VC,Very Coarse,
Pore size,VF,,VF,Very Fine,
"Position of the soil profile, if the soil surface is uneven",E,,E,On an unaffected surface,
"Position of the soil profile, if the soil surface is uneven",H,,H,On the high,
"Position of the soil profile, if the soil surface is uneven",L,,L,In the low,
"Position of the soil profile, if the soil surface is uneven",S,,S,On the slope,
Potentiometric pH measurement,C15,,C15,"CaCl2, 0.01 M",Mixing ratio 1:5
Potentiometric pH measurement,K15,,K15,"KCl, 1 M",Mixing ratio 1:5
Potentiometric pH measurement,W11,,W11,Distilled water (H2O),Mixing ratio 1:1
Potentiometric pH measurement,W15,,W15,Distilled water (H2O),Mixing ratio 1:5
Presence of strata within a layer,A,,A,Layer is composed of two or more alluvial strata,
Presence of strata within a layer,B,,B,Layer is composed of two or more alluvial strata containing tephra,
Presence of strata within a layer,N,,N,Layer is not composed of different strata,
Presence of strata within a layer,T,,T,Layer is composed of two or more tephra strata,
Profile Position,BS,,BS,Backslope,
Profile Position,EB,,EB,Endorheic basin,
Profile Position,FS,,FS,Footslope,
Profile Position,OB,,OB,Basin with outflow,
Profile Position,SH,,SH,Shoulder,
Profile Position,SU,,SU,Summit,
Profile Position,TS,,TS,Toeslope,
Profile Position,VB,,VB,Valley bottom,
Ranges of rH values,R1,,R1,<10,Methane formation
Ranges of rH values,R2,,R2,okt-13,Sulfide formation
Ranges of rH values,R3,,R3,13 - 20,Formation of FeII/FeIII oxides (green rust)
Ranges of rH values,R4,,R4,temporally < 20,Redox reactions of Fe
Ranges of rH values,R5,,R5,temporally 20 - 29,Redox reactions of Mn
Ranges of rH values,R6,,R6,"> 33, 29 - 33",Strongly aerated
Remnants of broken-up cemented layers: cementing agent,CA,,CA,Secondary carbonates,
Remnants of broken-up cemented layers: cementing agent,FH,,FH,Fe oxides in the presence of a significant concentration of organic matter,
Remnants of broken-up cemented layers: cementing agent,FI,,FI,"Fe oxides, predominantly inside (former) soil aggregates, no significant concentration of organic matter",
Remnants of broken-up cemented layers: cementing agent,FN,,FN,"Fe oxides, no relationship to (former) soil aggregates, no significant concentration of organic matter",
Remnants of broken-up cemented layers: cementing agent,FO,,FO,"Fe oxides, predominantly on the surfaces of (former) soil aggregates, no significant concentration of organic matter",
Remnants of broken-up cemented layers: cementing agent,GY,,GY,Secondary gypsum,
Remnants of broken-up cemented layers: cementing agent,SI,,SI,Secondary silica,
Retarded reaction with HCl,H,,H,Reaction with 1 M HCl only after heating,
Retarded reaction with HCl,I,,I,Reaction with 1 M HCl immediate,
Rupture resistence class dry,EH,,EH,Extremely hard,
Rupture resistence class dry,HA,,HA,Hard,
Rupture resistence class dry,LO,,LO,Loose,
Rupture resistence class dry,MH,,MH,Moderately hard,
Rupture resistence class dry,RI,,RI,Rigid,
Rupture resistence class dry,SH,,SH,Slightly hard,
Rupture resistence class dry,SO,,SO,Soft,
Rupture resistence class dry,VH,,VH,Very hard,
Rupture resistence class dry,VR,,VR,Very rigid,
Rupture resistence class moist,EI,,EI,Extremely firm,
Rupture resistence class moist,FI,,FI,Firm,
Rupture resistence class moist,FR,,FR,Friable,
Rupture resistence class moist,LO,,LO,Loose,
Rupture resistence class moist,RI,,RI,Rigid,
Rupture resistence class moist,SR,,SR,Slightly rigid,
Rupture resistence class moist,VF,,VF,Very friable,
Rupture resistence class moist,VI,,VI,Very firm,
Rupture resistence class moist,VR,,VR,Very rigid,
Sealing agent of surface crusts,BA,,BA,"Biological, by algae",
Sealing agent of surface crusts,BC,,BC,"Biological, by cyanobacteria",
Sealing agent of surface crusts,BF,,BF,"Biological, by fungi",
